timestamp,equity,inventory,price,elapsed_seconds,rsi,adx
2026-04-01T13:11:43.879572,491940000,-1,1869.9,0,,
2026-04-01T13:16:32.472761,491270610,-5,1870,0,,
2026-04-01T13:16:42.490614,491270410,-5,1870.4,10.017852306365969,,
2026-04-01T13:16:52.506642,491270360,-5,1870.5,20.033880710601807,,
2026-04-01T13:17:02.507930,491270460,-5,1870.3,30.035168170928955,,
2026-04-01T13:17:12.520785,491270160,-5,1870.9,40.04802393913269,,
2026-04-01T13:17:22.549430,491270310,-5,1870.6,50.07666826248169,,
2026-04-01T13:17:33.063561,491270210,-5,1870.8,60.59079957008362,,
2026-04-01T13:17:43.078217,491270160,-5,1870.9,70.60545563697815,,
2026-04-01T13:17:53.091863,491270260,-5,1870.8,80.61910152435303,,
2026-04-01T13:18:03.122141,491270010,-5,1871.2,90.64937925338744,,
2026-04-01T13:18:13.143698,491270460,-5,1870.3,100.67093658447266,,
2026-04-01T13:18:23.170141,491270210,-5,1870.8,110.6973795890808,,
2026-04-01T13:18:33.558420,491270410,-5,1870.4,121.08565878868104,,
2026-04-01T13:18:43.582046,491269960,-5,1871.3,131.10928463935852,,
2026-04-01T13:18:53.603612,491269810,-5,1871.6,141.13085055351257,,
2026-04-01T13:19:03.622363,491270210,-5,1870.8,151.1496012210846,,
2026-04-01T13:19:13.640410,491270260,-5,1870.7,161.16764855384827,,
2026-04-01T13:19:23.653150,491270410,-5,1870.4,171.18038845062256,,
2026-04-01T13:19:34.073944,491270410,-5,1870.4,181.60118293762207,,
2026-04-01T13:19:44.082517,491270410,-5,1870.4,191.6097559928894,,
2026-04-01T13:19:54.089476,491270460,-5,1870.3,201.61671423912048,,
2026-04-01T13:20:04.104978,491270310,-5,1870.6,211.6322169303894,,
2026-04-01T13:20:14.120804,491270310,-5,1870.6,221.6480427,,
2026-04-01T13:20:24.131813,491270110,-5,1871,231.65905117988584,,
2026-04-01T13:20:34.609100,491269860,-5,1871.5,242.1363387107849,,
2026-04-01T13:20:44.599005,491270060,-5,1871.1,252.1262435913086,,
2026-04-01T13:20:54.615501,491270110,-5,1871,262.14273953437805,,
2026-04-01T13:21:04.631932,491269710,-5,1871.8,272.1591708660126,,
2026-04-01T13:21:14.644833,491269710,-5,1871.6,282.17207193374634,,
2026-04-01T13:21:24.674592,491269460,-5,1872.3,292.2018301486969,,
2026-04-01T13:21:35.070381,491269460,-5,1872.3,302.59762,,
2026-04-01T13:21:45.088723,491269310,-5,1872.6,312.6159613132477,,
2026-04-01T13:21:55.112771,491269310,-5,1872.6,322.64000964164734,,
2026-04-01T13:22:05.120521,491269610,-5,1872,332.64775919914246,,
2026-04-01T13:22:15.141640,491269610,-5,1872,342.6688783168793,,
2026-04-01T13:22:25.142885,491269660,-5,1871.9,352.6701238155365,,
2026-04-01T13:22:35.547927,491269410,-5,1872.4,363.0751657485962,,
2026-04-01T13:22:45.562178,491269360,-5,1872.5,373.08941626548767,,
2026-04-01T13:22:55.578534,491269510,-5,1872.2,383.1057727336884,,
2026-04-01T13:23:05.595177,491269610,-5,1872,393.1224153,,
2026-04-01T13:23:15.590691,491269710,-5,1871.8,403.11792945861816,,
2026-04-01T13:23:25.604682,491269710,-5,1871.8,413.1319200992584,,
2026-04-01T13:23:35.979086,491270460,-5,1870.3,423.5063245296478,,
2026-04-01T13:23:46.001726,491269860,-5,1871.5,433.5289649963379,,
2026-04-01T13:23:56.018908,491269510,-5,1872.2,443.5461463928223,,
2026-04-01T13:24:06.008495,491269210,-5,1872.8,453.5357332229614,,
2026-04-01T13:24:16.025693,491268860,-5,1873.5,463.5529313087464,,
2026-04-01T13:24:26.025960,491269020,-4,1873.5,473.5531983375549,,
2026-04-01T13:24:36.384453,491269220,-4,1873,483.91169118881226,,
2026-04-01T13:24:46.404425,491269060,-4,1873.4,493.9316630363464,,
2026-04-01T13:24:56.410552,491268940,-4,1873.7,503.9377906322479,,
2026-04-01T13:25:06.438987,491268980,-4,1873.6,513.9662251472473,,
2026-04-01T13:25:16.454068,491269060,-4,1873.4,523.9813063144684,,
2026-04-01T13:25:26.452426,491269220,-4,1873,533.9796640872955,,
2026-04-01T13:25:36.920814,491269220,-4,1873,544.4480521678925,,
2026-04-01T13:25:46.931434,491269180,-4,1873.1,554.4586732387543,,
2026-04-01T13:25:56.949669,491269060,-4,1873.4,564.4769072532654,,
2026-04-01T13:26:06.964834,491268780,-4,1873.9,574.4920731,,
2026-04-01T13:26:16.975697,491269140,-4,1873.2,584.5029359,,
2026-04-01T13:26:27.187141,491660000,-3,1873.3,594.7143795490265,,
